,Platform,Year_of_Release,Genre,Publisher,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
28,DS,2005.0,Simulation,Nintendo,E,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0
29,X360,2007.0,Shooter,Microsoft Game Studios,M,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0
30,PS2,2004.0,Racing,Sony Computer Entertainment,E,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0
31,Wii,2007.0,Platform,Nintendo,E,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0
32,X360,2008.0,Action,Take-Two Interactive,M,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0
33,PS,1997.0,Racing,Sony Computer Entertainment,E,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0
34,3DS,2011.0,Platform,Nintendo,E,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0
35,PS3,2010.0,Racing,Sony Computer Entertainment,E,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0
36,PS3,2009.0,Shooter,Activision,M,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0
37,PS3,2008.0,Action,Take-Two Interactive,M,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0
38,X360,2013.0,Shooter,Activision,M,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0
39,Wii,2011.0,Misc,Ubisoft,E10+,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0
40,3DS,2012.0,Platform,Nintendo,E,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0
41,X360,2010.0,Shooter,Microsoft Game Studios,M,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0
42,PS,1997.0,Role-Playing,Sony Computer Entertainment,T,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0
43,X360,2012.0,Shooter,Microsoft Game Studios,M,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0
44,PS,1999.0,Racing,Sony Computer Entertainment,T,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0
45,Wii,2010.0,Misc,Ubisoft,E10+,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0
46,PS3,2013.0,Shooter,Activision,M,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0
47,X360,2007.0,Shooter,Activision,M,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0
48,3DS,2012.0,Simulation,Nintendo,E,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0
49,DS,2007.0,Misc,Nintendo,E,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0
50,X360,2011.0,Role-Playing,Bethesda Softworks,M,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0
51,PS4,2015.0,Sports,Electronic Arts,E,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0
52,XB,2004.0,Shooter,Microsoft Game Studios,M,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0
53,Wii,2010.0,Misc,Nintendo,E,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0
54,Wii,2007.0,Misc,Nintendo,E,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0
55,PS3,2012.0,Action,Electronic Arts,E,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0
56,PS2,2001.0,Role-Playing,Sony Computer Entertainment,T,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0
57,PC,2009.0,Simulation,Electronic Arts,T,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0
58,PS,1999.0,Role-Playing,SquareSoft,T,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0
59,DS,2008.0,Role-Playing,Nintendo,E,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0
60,PSP,2005.0,Action,Take-Two Interactive,M,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0
61,PS4,2014.0,Shooter,Activision,M,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0
62,PS4,2016.0,Sports,Electronic Arts,E,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0
63,Wii,2010.0,Platform,Nintendo,E,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0
64,X360,2008.0,Shooter,Activision,M,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0
65,X360,2011.0,Shooter,Electronic Arts,M,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0
66,PS2,2003.0,Racing,Electronic Arts,E,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0
67,Wii,2009.0,Misc,Ubisoft,E10+,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0
68,PS3,2011.0,Shooter,Electronic Arts,M,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0
69,PS4,2015.0,Role-Playing,Bethesda Softworks,M,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0
70,PS,1998.0,Fighting,Sony Computer Entertainment,T,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0
71,Wii,2006.0,Action,Nintendo,T,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0
72,PS,1998.0,Platform,Sony Computer Entertainment,E,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0
73,WiiU,2014.0,Racing,Nintendo,E,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0
74,GC,2001.0,Fighting,Nintendo,T,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0
75,PS2,2004.0,Racing,Electronic Arts,E,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0
76,PS2,2002.0,Shooter,Electronic Arts,T,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0
77,Wii,2012.0,Misc,Ubisoft,E10+,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0
78,X360,2008.0,Shooter,Microsoft Game Studios,M,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0
79,PS3,2011.0,Action,Sony Computer Entertainment,T,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0
80,PS3,2007.0,Shooter,Activision,M,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0
81,PS3,2009.0,Action,Sony Computer Entertainment,T,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0
82,DS,2005.0,Misc,Nintendo,E,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0
83,PS3,2010.0,Action,Take-Two Interactive,M,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0
84,PS3,2013.0,Sports,Electronic Arts,E,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0
85,PS3,2012.0,Action,Ubisoft,M,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0
86,Wii,2010.0,Platform,Nintendo,E,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0
87,XB,2001.0,Shooter,Microsoft Game Studios,M,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0
88,PS3,2011.0,Role-Playing,Bethesda Softworks,M,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0
89,GBA,2004.0,Role-Playing,Nintendo,E,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0
90,PS2,2002.0,Role-Playing,Sony Computer Entertainment,E,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0
91,X360,2009.0,Shooter,Microsoft Game Studios,M,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0
92,X360,2010.0,Action,Take-Two Interactive,M,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0
93,GC,2002.0,Platform,Nintendo,E,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0
94,PC,2004.0,Role-Playing,Activision,T,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0
95,PS,1999.0,Action,GT Interactive,T,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0
96,X360,2011.0,Shooter,Microsoft Game Studios,M,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0
97,X360,2010.0,Sports,Microsoft Game Studios,E10+,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0
98,X360,2006.0,Shooter,Microsoft Game Studios,M,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0
99,PS4,2014.0,Sports,Electronic Arts,E,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0
100,PS2,2001.0,Action,Konami Digital Entertainment,M,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0
101,PS,1998.0,Action,Konami Digital Entertainment,M,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0
102,PS3,2008.0,Action,Konami Digital Entertainment,M,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0
103,PS2,2006.0,Role-Playing,Square Enix,T,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0
104,PS3,2013.0,Action,Sony Computer Entertainment Europe,M,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0
105,PS3,2008.0,Platform,Sony Computer Entertainment,E,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0
106,PS,1998.0,Action,Virgin Interactive,M,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0
107,DS,2009.0,Role-Playing,Nintendo,E10+,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0
108,PS,1996.0,Fighting,Sony Computer Entertainment,T,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0
109,PS4,2014.0,Shooter,Activision,T,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0
110,Wii,2007.0,Action,LucasArts,E10+,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0
111,DS,2006.0,Simulation,505 Games,E,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0
112,PS3,2009.0,Action,Ubisoft,M,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0
113,X360,2007.0,Adventure,Ubisoft,M,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0
114,X360,2009.0,Racing,Microsoft Game Studios,E,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0
115,GBA,2001.0,Platform,Nintendo,E,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0
116,PSP,2008.0,Role-Playing,Capcom,T,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0
117,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,T,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0
118,XOne,2014.0,Action,Take-Two Interactive,M,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0
119,GBA,2001.0,Racing,Nintendo,E,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0
120,PS2,2001.0,Platform,Universal Interactive,E,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0
121,PS3,2008.0,Shooter,Activision,M,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0
122,PS4,2016.0,Shooter,Sony Computer Entertainment,T,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0
123,PS3,2009.0,Role-Playing,Square Enix,T,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0
124,PS,2000.0,Role-Playing,SquareSoft,T,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0
125,X360,2012.0,Action,Ubisoft,M,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0
126,PS2,2003.0,Role-Playing,Electronic Arts,T,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0
127,XOne,2014.0,Shooter,Activision,M,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0
128,X360,2009.0,Action,Ubisoft,M,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0
129,WiiU,2012.0,Platform,Nintendo,E,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0
130,PS2,2004.0,Role-Playing,Square Enix,T,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0
131,DS,2007.0,Puzzle,Nintendo,E,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0
132,X360,2012.0,Action,Electronic Arts,E,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0
133,PC,2012.0,Role-Playing,Activision,M,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0
134,PS2,2003.0,Shooter,Electronic Arts,T,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0
135,PS2,2006.0,Misc,RedOctane,T,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0
136,X360,2010.0,Role-Playing,Microsoft Game Studios,M,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0
137,PS3,2009.0,Action,Capcom,M,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0
138,DS,2007.0,Action,Nintendo,E,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0
139,PS3,2010.0,Sports,Electronic Arts,E,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0
140,PS,1996.0,Action,Virgin Interactive,M,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0
141,PSP,2006.0,Action,Take-Two Interactive,M,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0
142,PS,1999.0,Sports,Activision,T,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0
143,PS2,2007.0,Misc,Activision,T,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0
144,Wii,2007.0,Shooter,Nintendo,T,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0
145,X360,2008.0,Role-Playing,Bethesda Softworks,M,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0
146,PS3,2007.0,Action,Sony Computer Entertainment,T,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0
147,PS2,2005.0,Sports,Electronic Arts,E,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0
148,PC,2010.0,Strategy,Activision,T,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0
149,PS3,2007.0,Adventure,Ubisoft,M,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0
150,PS3,2010.0,Action,Sony Computer Entertainment,M,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0
151,PS,1999.0,Racing,Sony Computer Entertainment,E,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0
152,DS,2007.0,Action,LucasArts,E,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0
153,PS,2000.0,Action,Atari,T,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0
154,X360,2011.0,Action,Warner Bros. Interactive Entertainment,T,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0
155,PS,2000.0,Sports,Activision,T,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0
156,PS2,2002.0,Action,Electronic Arts,T,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0
157,PS,1996.0,Action,Eidos Interactive,T,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,147.0
158,Wii,2008.0,Simulation,Nintendo,E,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0
159,PS4,2015.0,Action,Sony Computer Entertainment,T,2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264.0
160,GC,2002.0,Action,Nintendo,E,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968.0
161,Wii,2007.0,Misc,Activision,T,3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87.0
162,3DS,2013.0,Action,Nintendo,E,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0
163,X360,2011.0,Racing,Microsoft Game Studios,E,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617.0
164,PS2,2004.0,Sports,Electronic Arts,E,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0
165,X360,2007.0,Misc,Activision,T,3.19,0.91,0.01,0.42,4.53,85.0,69.0,7.9,165.0
166,PS2,2006.0,Sports,Electronic Arts,E,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0
167,XOne,2015.0,Shooter,Microsoft Game Studios,T,2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438.0
168,PS2,2002.0,Action,Activision,E,2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.9,41.0
169,PS4,2016.0,Shooter,Activision,M,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0
170,PS2,2005.0,Action,Sony Computer Entertainment,M,2.71,1.29,0.02,0.43,4.45,94.0,75.0,8.9,997.0
171,WiiU,2015.0,Shooter,Nintendo,E10+,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0
172,WiiU,2012.0,Misc,Nintendo,E10+,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0
173,PS2,2001.0,Sports,Activision,T,2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298.0
174,PS2,2006.0,Sports,Konami Digital Entertainment,E,0.1,2.39,1.05,0.86,4.39,86.0,19.0,8.9,33.0
175,X360,2006.0,Role-Playing,Take-Two Interactive,M,2.82,1.03,0.13,0.4,4.38,94.0,90.0,8.7,1109.0
176,PS2,2005.0,Racing,Electronic Arts,T,2.03,1.79,0.08,0.47,4.37,82.0,36.0,9.1,137.0
177,Wii,2010.0,Misc,Ubisoft,E10+,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0
178,PS3,2006.0,Shooter,Sony Computer Entertainment,M,1.74,1.72,0.14,0.75,4.34,86.0,70.0,8.1,715.0
179,PS2,2005.0,Role-Playing,Square Enix,E10+,2.2,0.58,1.38,0.17,4.33,87.0,64.0,9.0,766.0
180,WiiU,2013.0,Platform,Nintendo,E,2.11,1.16,0.73,0.32,4.32,93.0,83.0,9.0,1607.0
181,X360,2008.0,Role-Playing,Microsoft Game Studios,M,2.51,1.24,0.11,0.41,4.27,89.0,95.0,6.5,2423.0
182,GBA,2001.0,Misc,Namco Bandai Games,E,3.0,1.11,0.05,0.07,4.24,79.0,10.0,7.3,6.0
183,PS3,2009.0,Action,Eidos Interactive,T,2.24,1.31,0.07,0.61,4.23,91.0,70.0,8.9,1122.0
184,PS2,2004.0,Action,Konami Digital Entertainment,M,1.46,0.0,0.83,1.93,4.23,91.0,68.0,9.3,955.0
185,PS3,2011.0,Action,Ubisoft,M,1.41,2.01,0.1,0.7,4.22,80.0,39.0,7.5,613.0
186,XOne,2015.0,Role-Playing,Bethesda Softworks,M,2.51,1.32,0.01,0.38,4.22,88.0,39.0,6.2,1749.0
187,X360,2013.0,Sports,Electronic Arts,E,0.92,2.89,0.01,0.4,4.22,84.0,41.0,4.2,435.0
188,PSP,2006.0,Platform,Sony Computer Entertainment,E10+,2.45,1.01,0.0,0.75,4.21,85.0,59.0,8.7,109.0
189,PS2,2005.0,Sports,Electronic Arts,E,0.78,2.55,0.04,0.84,4.21,80.0,32.0,7.8,47.0
190,PS2,2003.0,Misc,Sony Computer Entertainment,E,0.88,2.3,0.2,0.83,4.2,80.0,32.0,7.5,22.0
191,PS3,2007.0,Racing,Sony Computer Entertainment,E,1.28,1.82,0.57,0.52,4.19,80.0,67.0,7.1,120.0
192,X360,2011.0,Action,Ubisoft,M,2.25,1.47,0.04,0.43,4.19,80.0,77.0,7.2,564.0
193,PS3,2009.0,Fighting,Capcom,T,2.03,1.04,0.58,0.52,4.16,94.0,61.0,7.3,330.0
194,PS2,2002.0,Sports,Electronic Arts,E,3.36,0.21,0.01,0.56,4.14,95.0,25.0,7.7,65.0
195,PC,1997.0,Shooter,Vivendi Games,M,4.03,0.0,0.09,0.0,4.12,96.0,24.0,9.1,3161.0
196,PC,2007.0,Role-Playing,Activision,T,2.57,1.52,0.0,0.0,4.09,91.0,46.0,7.9,785.0
197,PS4,2016.0,Shooter,Electronic Arts,M,1.1,2.15,0.21,0.61,4.08,88.0,31.0,8.4,809.0
198,PS2,2007.0,Action,Sony Computer Entertainment,M,2.32,0.04,0.04,1.67,4.07,93.0,70.0,8.9,709.0
199,X360,2010.0,Role-Playing,Bethesda Softworks,M,2.66,1.03,0.04,0.33,4.05,84.0,81.0,8.1,769.0
200,X360,2007.0,Racing,Microsoft Game Studios,E,2.35,1.27,0.03,0.41,4.05,90.0,66.0,8.3,381.0
201,Wii,2007.0,Misc,Take-Two Interactive,E,2.12,1.47,0.05,0.42,4.05,56.0,27.0,6.0,44.0
202,PS4,2014.0,Action,Ubisoft,M,1.4,1.9,0.11,0.64,4.05,80.0,80.0,6.3,2996.0
203,PS2,2000.0,Fighting,Namco Bandai Games,T,1.68,1.51,0.51,0.35,4.05,85.0,25.0,8.5,117.0
204,PS4,2014.0,Shooter,Ubisoft,M,1.13,2.18,0.1,0.63,4.04,85.0,83.0,7.7,1653.0
205,X360,2009.0,Shooter,Electronic Arts,M,2.67,0.87,0.05,0.38,3.97,89.0,76.0,8.6,681.0
206,PS4,2015.0,Role-Playing,Namco Bandai Games,M,1.02,2.13,0.23,0.59,3.97,92.0,79.0,9.2,10179.0
207,PS4,2014.0,Action,Ubisoft,M,1.19,2.07,0.08,0.62,3.96,70.0,40.0,4.9,2050.0
208,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,M,1.53,1.69,0.1,0.64,3.95,87.0,89.0,7.6,2679.0
209,Wii,2011.0,Action,Nintendo,E10+,2.03,1.16,0.37,0.38,3.95,93.0,81.0,8.0,1958.0
210,PS3,2008.0,Role-Playing,Bethesda Softworks,M,2.15,1.13,0.07,0.59,3.94,90.0,57.0,8.0,910.0
211,DS,2007.0,Puzzle,Nintendo,E10+,0.9,1.76,0.92,0.37,3.94,84.0,65.0,8.8,72.0
212,Wii,2009.0,Sports,Electronic Arts,E,2.09,1.35,0.06,0.4,3.9,81.0,27.0,8.7,39.0
213,PS2,2003.0,Sports,Activision,T,2.29,1.17,0.01,0.42,3.9,90.0,38.0,8.7,121.0
214,3DS,2014.0,Role-Playing,Nintendo,T,0.68,0.48,2.62,0.11,3.89,86.0,80.0,8.7,348.0
215,PC,2011.0,Role-Playing,Bethesda Softworks,M,1.16,2.12,0.0,0.6,3.88,94.0,32.0,8.1,9073.0
216,PS4,2015.0,Sports,Take-Two Interactive,E10+,2.49,0.66,0.03,0.69,3.88,87.0,51.0,6.7,364.0
217,PS2,2005.0,Fighting,Namco Bandai Games,T,0.93,1.94,0.31,0.7,3.87,88.0,62.0,8.6,229.0
218,PS3,2006.0,Racing,Sony Computer Entertainment,T,1.53,1.6,0.06,0.67,3.87,84.0,9.0,7.4,220.0
219,PS2,2004.0,Sports,Konami Digital Entertainment,E,0.16,1.89,1.12,0.68,3.85,91.0,26.0,9.1,38.0
220,PS3,2010.0,Sports,Sony Computer Entertainment,E10+,2.13,1.12,0.1,0.5,3.84,76.0,64.0,7.9,104.0
221,PS4,2013.0,Shooter,Activision,M,1.78,1.43,0.05,0.57,3.83,78.0,49.0,3.7,1564.0
222,DS,2007.0,Misc,Nintendo,E,0.86,1.56,1.05,0.35,3.83,59.0,22.0,4.0,4.0
223,PS4,2016.0,Shooter,Ubisoft,M,1.35,1.7,0.15,0.6,3.8,80.0,64.0,7.0,2219.0
